hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,commute_time,wlb_score,wlb_label
45-50,1-5,1,6-10,2.0,2.0,3.0,Rarely,2,30-45,4+,2,2.0,No travel,1.0,6-10,2.0,<30,609.5,MODERATE
>50,1-5,4-5,11-15,3.0,3.0,2.0,Sometimes,3,10-20,3,None,3.0,2 trips,2.0,3-5,5.0,No commute,655.6,MODERATE
40-45,1-5,6-8,0-5,3.0,3.0,1.0,Sometimes,3,10-20,None,None,3.0,>3 trips,2.0,3-5,5.0,<30,631.6,MODERATE
>50,>15,2-3,6-10,3.0,3.0,2.0,Sometimes,None,>45,3,3,4.0,3 trips,5.0,3-5,4.0,1-2h,622.7,MODERATE
>50,>15,>8,11-15,1.0,1.0,2.0,Never,2,<10,2,2,2.0,>3 trips,2.0,3-5,2.0,30-60,663.9,MODERATE
35-40,1-5,2-3,0-5,2.0,2.0,3.0,Rarely,3,<10,None,3,2.0,2 trips,2.0,>15,5.0,>2h,722.3,GOOD
40-45,>15,6-8,>20,2.0,2.0,4.0,Rarely,2,Unknown,None,2,2.0,3 trips,5.0,6-10,5.0,>2h,727.2,GOOD
40-45,11-15,2-3,>20,4.0,4.0,4.0,Often,1,10-20,2,4+,4.0,No travel,2.0,3-5,4.0,1-2h,676.2,MODERATE
40-45,11-15,>8,>20,3.0,3.0,5.0,Sometimes,4+,10-20,2,4+,2.0,>3 trips,3.0,3-5,2.0,<30,702.8,GOOD
>50,>15,1,>20,4.0,4.0,2.0,Often,1,10-20,4+,3,4.0,1 trip,1.0,6-10,5.0,>2h,634.4,MODERATE
45-50,>15,2-3,6-10,4.0,4.0,1.0,Often,3,10-20,None,4+,3.0,2 trips,4.0,11-15,1.0,30-60,610.1,MODERATE
40-45,None,6-8,>20,4.0,4.0,1.0,Often,2,<10,1,3,4.0,1 trip,2.0,11-15,1.0,No commute,618.6,MODERATE
>50,None,2-3,6-10,2.0,2.0,4.0,Rarely,3,<10,4+,4+,2.0,3 trips,5.0,6-10,4.0,>2h,686.4,MODERATE
35-40,6-10,>8,6-10,3.0,3.0,4.0,Sometimes,1,Unknown,None,3,3.0,1 trip,1.0,3-5,3.0,1-2h,689.6,MODERATE
45-50,6-10,6-8,11-15,3.0,3.0,4.0,Sometimes,3,<10,2,4+,3.0,2 trips,1.0,3-5,2.0,1-2h,639.7,MODERATE
35-40,6-10,2-3,>20,3.0,3.0,4.0,Sometimes,1,10-20,2,None,3.0,2 trips,2.0,3-5,5.0,30-60,720.4,GOOD
45-50,1-5,6-8,16-20,2.0,2.0,4.0,Rarely,3,10-20,1,None,2.0,1 trip,5.0,3-5,5.0,1-2h,673.5,MODERATE
>50,11-15,>8,>20,2.0,2.0,4.0,Rarely,3,<10,None,None,2.0,1 trip,5.0,>15,5.0,<30,707.6,GOOD
<35,1-5,1,16-20,3.0,3.0,3.0,Sometimes,4+,10-20,3,2,2.0,3 trips,5.0,11-15,2.0,>2h,727.8,GOOD
45-50,>15,>8,>20,1.0,1.0,4.0,Never,3,30-45,4+,1,1.0,1 trip,3.0,>15,3.0,>2h,687.1,MODERATE
35-40,None,1,6-10,4.0,4.0,4.0,Often,None,<10,None,3,5.0,2 trips,2.0,11-15,2.0,>2h,652.9,MODERATE
>50,>15,4-5,>20,5.0,5.0,5.0,Always,2,Unknown,3,1,4.0,1 trip,2.0,3-5,2.0,<30,668.6,MODERATE
45-50,>15,>8,>20,2.0,2.0,2.0,Rarely,2,30-45,2,None,2.0,No travel,4.0,6-10,5.0,<30,709.4,GOOD
<35,None,1,>20,2.0,2.0,5.0,Rarely,2,Unknown,2,3,2.0,2 trips,3.0,>15,5.0,>2h,752.7,GOOD
<35,>15,4-5,>20,4.0,4.0,3.0,Often,1,<10,3,3,4.0,2 trips,3.0,>15,2.0,>2h,677.7,MODERATE
40-45,6-10,4-5,11-15,5.0,5.0,1.0,Always,2,10-20,3,2,4.0,3 trips,1.0,3-5,2.0,1-2h,633.9,MODERATE
