age_group,marital_status,children,role_level,official_work_hours,work_mode,commute_time,hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,sick_days_num,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,wlb_score,wlb_label
55+,Single,3+ children,Executive / Director,11-7,Office Only,No commute,<35,11-15,6-8,16-20,4,1,3,Always,1,30-45,None,0,4+,2,2 trips,3,<3,2,62,MODERATE
36-45,Single,No children,Senior Level,11-7,Work From Home,<30,40-45,1-5,6-8,>20,3,3,6,Often,2,20-30,1,1,2,1,No travel,2,11-15,3,86,GOOD
55+,Widowed,2 children,Mid Level,11-7,Office Only,30-60,<35,11-15,2-3,0-5,4,5,3,Rarely,4+,>45,None,0,None,4,>3 trips,3,>15,3,81,GOOD
36-45,Widowed,No children,Entry Level,Night,Office Only,<30,45-50,None,2-3,11-15,3,4,2,Never,3,<10,1,1,3,4,No travel,1,<3,4,74,GOOD
46-55,Single,1 child,Manager / Lead,11-7,Work From Home,No commute,<35,>15,6-8,11-15,5,4,6,Sometimes,4+,10-20,1,1,3,1,No travel,5,6-10,2,65,MODERATE
26-35,Single,3+ children,Mid Level,10-6,Work From Home,<30,<35,None,4-5,0-5,1,3,4,Rarely,2,20-30,None,0,4+,1,3 trips,3,6-10,4,100,GOOD
18-25,Married,No children,Mid Level,10-6,Work From Home,>2h,45-50,6-10,2-3,11-15,4,5,1,Never,4+,30-45,2,2,2,5,3 trips,1,11-15,2,59,MODERATE
55+,Single,No children,Manager / Lead,Night,Work From Home,1-2h,40-45,>15,6-8,11-15,5,3,3,Never,None,<10,3,3,1,4,>3 trips,1,11-15,3,43,MODERATE
18-25,Widowed,2 children,Executive / Director,10-6,Hybrid,<30,>50,11-15,6-8,11-15,4,2,2,Always,2,>45,None,0,2,4,2 trips,2,3-5,3,49,MODERATE
36-45,Married,2 children,Executive / Director,11-7,Office Only,No commute,45-50,None,6-8,>20,1,2,3,Often,4+,30-45,None,0,2,2,1 trip,3,3-5,3,86,GOOD
55+,Divorced,No children,Executive / Director,11-7,Work From Home,<30,40-45,1-5,>8,0-5,4,2,4,Rarely,2,>45,1,1,1,1,>3 trips,3,>15,1,93,GOOD
18-25,Married,3+ children,Senior Level,11-7,Hybrid,>2h,45-50,1-5,4-5,>20,2,3,1,Always,None,10-20,None,0,2,5,3 trips,2,<3,1,53,MODERATE
55+,Widowed,3+ children,Executive / Director,Night,Work From Home,30-60,35-40,None,>8,11-15,4,1,2,Often,None,30-45,4+,4,3,4,3 trips,1,3-5,2,62,MODERATE
36-45,Married,3+ children,Manager / Lead,8-4,Hybrid,<30,40-45,>15,6-8,>20,5,1,5,Never,3,20-30,None,0,3,1,2 trips,1,3-5,2,57,MODERATE
46-55,Married,No children,Executive / Director,9-5,Office Only,No commute,40-45,1-5,>8,6-10,4,1,4,Often,3,>45,None,0,None,3,1 trip,4,<3,1,78,GOOD
26-35,Single,1 child,Executive / Director,8-4,Office Only,No commute,45-50,>15,>8,>20,5,5,2,Sometimes,1,10-20,4+,4,None,3,2 trips,2,6-10,1,20,POOR
